name,description,slot,cooltime,hits,passive,aoe,random,multiplier_formula,multiplier_formula_raw,scales_with,icon_filename,used_on,level_progress_description,other_skill,aoe_1,single_target_1,self_effect_1,chance_1,on_crit_1,on_death_1,random_1,quantity_1,all_1,self_hp_1,target_hp_1,damage_1,note_1,aoe_2,single_target_2,self_effect_2,chance_2,on_crit_2,on_death_2,random_2,quantity_2,all_2,self_hp_2,target_hp_2,damage_2,note_2,aoe_3,single_target_3,self_effect_3,chance_3,on_crit_3,on_death_3,random_3,quantity_3,all_3,self_hp_3,target_hp_3,damage_3,note_3,aoe_4,single_target_4,self_effect_4,chance_4,on_crit_4,on_death_4,random_4,quantity_4,all_4,self_hp_4,target_hp_4,damage_4,note_4,aoe_5,single_target_5,self_effect_5,chance_5,on_crit_5,on_death_5,random_5,quantity_5,all_5,self_hp_5,target_hp_5,damage_5,note_5,id_1,url_1,name_1,is_buff_1,type_1,id_2,url_2,name_2,is_buff_2,type_2,id_3,url_3,name_3,is_buff_3,type_3,id_4,url_4,name_4,is_buff_4,type_4,id_5,url_5,name_5,is_buff_5,type_5,upgrade_1,upgrade_2,upgrade_3,upgrade_4,upgrade_5,upgrade_6,upgrade_7,upgrade_8,upgrade_1_effect,upgrade_1_amount,upgrade_2_effect,upgrade_2_amount,upgrade_3_effect,upgrade_3_amount,upgrade_4_effect,upgrade_4_amount,upgrade_5_effect,upgrade_5_amount,upgrade_6_effect,upgrade_6_amount,upgrade_7_effect,upgrade_7_amount,upgrade_8_effect,upgrade_8_amount
Forbidden Ingredient (Passive),Increases the Skill Level of the monster by 1 when used as Power-up material.,1,0.0,0,True,False,False,,[],[],skill_icon_0006_0_1.png,[115],[],0.0,-1,-1,-1,-1.0,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Special Ingredient (Passive),"The XP granted when used as Power-up material, greatly increases according to the monster's level. The XP amount also increases through Awakening.",1,0.0,0,True,False,False,,[],[],skill_icon_0006_0_0.png,"[120, 7, 142, 43, 80, 50, 121, 81, 8, 143]",[],0.0,-1,-1,-1,-1.0,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Best Ingredient (Passive),The XP granted will additionally increase by 50% when used as Power-up material for Monsters with the same attribute.,2,0.0,0,True,False,False,,[],[],skill_icon_0006_2_0.png,"[50, 121, 81, 8, 143]",[],0.0,-1,-1,-1,-1.0,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Splinter Attack,Hurls sharp pieces of lumber and stuns the enemy with a 15% chance.,1,0.0,1,False,False,False,3.6*{ATK},"[[""ATK"", ""*"", 3.6]]",['ATK'],skill_icon_0003_5_7.png,[1],"['Damage +5%', 'Damage +5%', 'Effect Rate +10%', 'Damage +10%', 'Effect Rate +10%', 'Damage +10%', 'Effect Rate +15%']",0.0,False,True,False,15.0,False,False,False,1.0,False,False,False,False,,-1,-1,-1,-1.0,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,28.0,https://swarfarm.com/api/v2/skill-effects/28/,Stun,False,Debuff,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"{'effect': 'Damage +{0}%', 'amount': 5}","{'effect': 'Damage +{0}%', 'amount': 5}","{'effect': 'Effect Rate +{0}%', 'amount': 10}","{'effect': 'Damage +{0}%', 'amount': 10}","{'effect': 'Effect Rate +{0}%', 'amount': 10}","{'effect': 'Damage +{0}%', 'amount': 10}","{'effect': 'Effect Rate +{0}%', 'amount': 15}",-1,Damage +{0}%,5,Damage +{0}%,5,Effect Rate +{0}%,10,Damage +{0}%,10,Effect Rate +{0}%,10,Damage +{0}%,10,Effect Rate +{0}%,15,-1,-1
Splinter Attack,Hurls sharp pieces of lumber and stuns the enemy with a 15% chance.,1,0.0,1,False,False,False,3.6*{ATK},"[[""ATK"", ""*"", 3.6]]",['ATK'],skill_icon_0003_4_7.png,[36],"['Damage +5%', 'Damage +5%', 'Effect Rate +10%', 'Damage +10%', 'Effect Rate +10%', 'Damage +10%', 'Effect Rate +15%']",0.0,False,True,False,15.0,False,False,False,1.0,False,False,False,False,,-1,-1,-1,-1.0,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,28.0,https://swarfarm.com/api/v2/skill-effects/28/,Stun,False,Debuff,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"{'effect': 'Damage +{0}%', 'amount': 5}","{'effect': 'Damage +{0}%', 'amount': 5}","{'effect': 'Effect Rate +{0}%', 'amount': 10}","{'effect': 'Damage +{0}%', 'amount': 10}","{'effect': 'Effect Rate +{0}%', 'amount': 10}","{'effect': 'Damage +{0}%', 'amount': 10}","{'effect': 'Effect Rate +{0}%', 'amount': 15}",-1,Damage +{0}%,5,Damage +{0}%,5,Effect Rate +{0}%,10,Damage +{0}%,10,Effect Rate +{0}%,10,Damage +{0}%,10,Effect Rate +{0}%,15,-1,-1
Splinter Attack,Hurls sharp pieces of lumber and stuns the enemy with a 15% chance.,1,0.0,1,False,False,False,3.6*{ATK},"[[""ATK"", ""*"", 3.6]]",['ATK'],skill_icon_0003_6_7.png,[75],"['Damage +5%', 'Damage +5%', 'Effect Rate +10%', 'Damage +10%', 'Effect Rate +10%', 'Damage +10%', 'Effect Rate +15%']",0.0,False,True,False,15.0,False,False,False,1.0,False,False,False,False,,-1,-1,-1,-1.0,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,28.0,https://swarfarm.com/api/v2/skill-effects/28/,Stun,False,Debuff,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"{'effect': 'Damage +{0}%', 'amount': 5}","{'effect': 'Damage +{0}%', 'amount': 5}","{'effect': 'Effect Rate +{0}%', 'amount': 10}","{'effect': 'Damage +{0}%', 'amount': 10}","{'effect': 'Effect Rate +{0}%', 'amount': 10}","{'effect': 'Damage +{0}%', 'amount': 10}","{'effect': 'Effect Rate +{0}%', 'amount': 15}",-1,Damage +{0}%,5,Damage +{0}%,5,Effect Rate +{0}%,10,Damage +{0}%,10,Effect Rate +{0}%,10,Damage +{0}%,10,Effect Rate +{0}%,15,-1,-1
Bully,Clings on to an enemy and deals damage. This attack has a 50% chance to increase the enemy's chances of landing a Glancing Hit for 1 turn..,1,0.0,1,False,False,False,3.4*{ATK},"[[""ATK"", ""*"", 3.4]]",['ATK'],skill_icon_0003_9_8.png,[116],"['Damage +5%', 'Effect Rate +5%', 'Damage +10%', 'Damage +10%', 'Effect Rate +10%', 'Effect Rate +15%']",0.0,False,True,False,50.0,False,False,False,1.0,False,False,False,False,-1,-1,-1,-1,-1.0,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,18.0,https://swarfarm.com/api/v2/skill-effects/18/,Glancing Hit,False,Debuff,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"{'effect': 'Damage +{0}%', 'amount': 5}","{'effect': 'Effect Rate +{0}%', 'amount': 5}","{'effect': 'Damage +{0}%', 'amount': 10}","{'effect': 'Damage +{0}%', 'amount': 10}","{'effect': 'Effect Rate +{0}%', 'amount': 10}","{'effect': 'Effect Rate +{0}%', 'amount': 15}",-1,-1,Damage +{0}%,5,Effect Rate +{0}%,5,Damage +{0}%,10,Damage +{0}%,10,Effect Rate +{0}%,10,Effect Rate +{0}%,15,-1,-1,-1,-1
Bully,Clings on to an enemy and deals damage. This attack has a 50% chance to increase the enemy's chances of landing a Glancing Hit for 1 turn..,1,0.0,1,False,False,False,3.4*{ATK},"[[""ATK"", ""*"", 3.4]]",['ATK'],skill_icon_0003_7_8.png,[2],"['Damage +5%', 'Effect Rate +5%', 'Damage +10%', 'Damage +10%', 'Effect Rate +10%', 'Effect Rate +15%']",0.0,False,True,False,50.0,False,False,False,1.0,False,False,False,False,-1,-1,-1,-1,-1.0,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,18.0,https://swarfarm.com/api/v2/skill-effects/18/,Glancing Hit,False,Debuff,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"{'effect': 'Damage +{0}%', 'amount': 5}","{'effect': 'Effect Rate +{0}%', 'amount': 5}","{'effect': 'Damage +{0}%', 'amount': 10}","{'effect': 'Damage +{0}%', 'amount': 10}","{'effect': 'Effect Rate +{0}%', 'amount': 10}","{'effect': 'Effect Rate +{0}%', 'amount': 15}",-1,-1,Damage +{0}%,5,Effect Rate +{0}%,5,Damage +{0}%,10,Damage +{0}%,10,Effect Rate +{0}%,10,Effect Rate +{0}%,15,-1,-1,-1,-1
Bully,Clings on to an enemy and deals damage. This attack has a 50% chance to increase the enemy's chances of landing a Glancing Hit for 1 turn..,1,0.0,1,False,False,False,3.4*{ATK},"[[""ATK"", ""*"", 3.4]]",['ATK'],skill_icon_0003_8_8.png,[76],"['Damage +5%', 'Effect Rate +5%', 'Damage +10%', 'Damage +10%', 'Effect Rate +10%', 'Effect Rate +15%']",0.0,False,True,False,50.0,False,False,False,1.0,False,False,False,False,-1,-1,-1,-1,-1.0,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,18.0,https://swarfarm.com/api/v2/skill-effects/18/,Glancing Hit,False,Debuff,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"{'effect': 'Damage +{0}%', 'amount': 5}","{'effect': 'Effect Rate +{0}%', 'amount': 5}","{'effect': 'Damage +{0}%', 'amount': 10}","{'effect': 'Damage +{0}%', 'amount': 10}","{'effect': 'Effect Rate +{0}%', 'amount': 10}","{'effect': 'Effect Rate +{0}%', 'amount': 15}",-1,-1,Damage +{0}%,5,Effect Rate +{0}%,5,Damage +{0}%,10,Damage +{0}%,10,Effect Rate +{0}%,10,Effect Rate +{0}%,15,-1,-1,-1,-1
Bully,Clings on to an enemy and deals damage. This attack has a 50% chance to increase the enemy's chances of landing a Glancing Hit for 1 turn.,1,0.0,1,False,False,False,3.4*{ATK},"[[""ATK"", ""*"", 3.4]]",['ATK'],skill_icon_0003_6_8.png,[37],"['Damage +5%', 'Effect Rate +5%', 'Damage +10%', 'Damage +10%', 'Effect Rate +10%', 'Effect Rate +15%']",0.0,False,True,False,50.0,False,False,False,1.0,False,False,False,False,-1,-1,-1,-1,-1.0,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,18.0,https://swarfarm.com/api/v2/skill-effects/18/,Glancing Hit,False,Debuff,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"{'effect': 'Damage +{0}%', 'amount': 5}","{'effect': 'Effect Rate +{0}%', 'amount': 5}","{'effect': 'Damage +{0}%', 'amount': 10}","{'effect': 'Damage +{0}%', 'amount': 10}","{'effect': 'Effect Rate +{0}%', 'amount': 10}","{'effect': 'Effect Rate +{0}%', 'amount': 15}",-1,-1,Damage +{0}%,5,Effect Rate +{0}%,5,Damage +{0}%,10,Damage +{0}%,10,Effect Rate +{0}%,10,Effect Rate +{0}%,15,-1,-1,-1,-1
