id,url,com2us_id,family_id,name,awaken_level,element,archetype,skill_ups_to_max,max_lvl_hp,max_lvl_attack,max_lvl_defense,speed,crit_rate,crit_damage,resistance,accuracy
1,https://swarfarm.com/api/v2/monsters/1/,12302,12300,Forest Keeper,0,Fire,Defense,7.0,6420,362,527,88,15,50,15,0
2,https://swarfarm.com/api/v2/monsters/2/,12702,12700,Ghost,0,Fire,Support,6.0,7740,516,285,101,15,50,15,0
3,https://swarfarm.com/api/v2/monsters/3/,13002,13000,Horned Frog,0,Fire,HP,5.0,8400,362,395,100,15,50,15,0
4,https://swarfarm.com/api/v2/monsters/4/,12902,12900,Mimick,0,Fire,Defense,6.0,5100,417,560,86,15,50,15,0
5,https://swarfarm.com/api/v2/monsters/5/,12402,12400,Mushroom,0,Fire,Attack,4.0,6915,505,351,104,15,50,15,0
6,https://swarfarm.com/api/v2/monsters/6/,13102,13100,Sandman,0,Fire,Defense,6.0,4605,450,560,102,15,50,15,0
7,https://swarfarm.com/api/v2/monsters/7/,14202,14200,Angelmon,0,Fire,Material,0.0,165,11,11,0,0,0,0,0
8,https://swarfarm.com/api/v2/monsters/8/,14212,14200,Red Angelmon,1,Fire,Material,0.0,165,11,11,0,0,0,0,0
9,https://swarfarm.com/api/v2/monsters/9/,18202,18200,King Angelmon,0,Fire,Material,0.0,165,11,11,0,0,0,0,0
10,https://swarfarm.com/api/v2/monsters/10/,18212,18200,Red King Angelmon,1,Fire,Material,0.0,165,11,11,0,0,0,0,0
11,https://swarfarm.com/api/v2/monsters/11/,12802,12800,Low Elemental,0,Fire,Support,12.0,6255,483,417,100,15,50,15,0
12,https://swarfarm.com/api/v2/monsters/12/,12812,12800,Lamor,1,Fire,Support,12.0,7245,538,461,100,15,50,15,0
13,https://swarfarm.com/api/v2/monsters/13/,12502,12500,Maned Boar,0,Fire,HP,7.0,8070,505,439,93,15,50,15,0
14,https://swarfarm.com/api/v2/monsters/14/,12602,12600,Monster Flower,0,Fire,HP,4.0,9555,483,362,95,15,50,15,0
15,https://swarfarm.com/api/v2/monsters/15/,16402,16400,Skull Soldier,0,Fire,Defense,11.0,6915,483,538,99,15,50,15,0
16,https://swarfarm.com/api/v2/monsters/16/,13602,13600,Surprise Box,0,Fire,Defense,6.0,8730,384,516,92,15,50,15,0
17,https://swarfarm.com/api/v2/monsters/17/,10802,10800,Elemental,0,Fire,Attack,11.0,7080,549,461,106,15,50,15,0
18,https://swarfarm.com/api/v2/monsters/18/,10812,10800,Bremis,1,Fire,Attack,11.0,7740,637,494,107,15,50,15,0
19,https://swarfarm.com/api/v2/monsters/19/,10902,10900,Garuda,0,Fire,Support,13.0,6585,439,604,92,15,50,15,0
21,https://swarfarm.com/api/v2/monsters/21/,10912,10900,Cahule,1,Fire,Support,15.0,5595,659,615,93,15,50,15,0
22,https://swarfarm.com/api/v2/monsters/22/,12102,12100,Harpu,0,Fire,Support,10.0,9060,439,439,105,15,50,15,0
23,https://swarfarm.com/api/v2/monsters/23/,12112,12100,Colleen,1,Fire,Support,15.0,10875,461,461,106,15,50,15,0
24,https://swarfarm.com/api/v2/monsters/24/,10602,10600,Hellhound,0,Fire,Attack,10.0,6255,681,384,109,15,50,15,0
25,https://swarfarm.com/api/v2/monsters/25/,10612,10600,Sieq,1,Fire,Attack,12.0,6255,823,406,110,15,50,15,0
26,https://swarfarm.com/api/v2/monsters/26/,13202,13200,Howl,0,Fire,Support,8.0,6585,450,593,98,15,50,15,0
27,https://swarfarm.com/api/v2/monsters/27/,13212,13200,Lala,1,Fire,Support,9.0,8235,549,549,99,15,50,15,0
